Magic Gamma Telescope, 0.79094374, 0.79086751, 0.79085174, 0.79097792
Epileptic Seizure Recognition, 0.82459565, 0.81905217, 0.82202609, 0.81938261
APS Failure at Scania Trucks, 0.98844531, 0.98688125, 0.98847812, 0.99044687
default of credit card clients, 0.80979333, 0.809755  , 0.80976333, 0.81035833
Spambase, 0.92316133, 0.91695817, 0.92422596, 0.92355242
Tree Wilt, 0.94579545, 0.94581612, 0.94582645, 0.95411157
Turkiye Student Evaluation, 0.64300687, 0.64402062, 0.64416667, 0.6432732
Wireless Indoor Localization, 0.924325, 0.924525, 0.924475, 0.9231
MNIST 5 vs. 8, 0.96260274, 0.96145738, 0.96302892, 0.95265982


